Metro Area,Accounting,Customer Service,Engineering,Graphics & Design,Human Resources,Law,Management Consulting,Marketing,Network & System Administration,Personal/Virtual Assistant,Public Relations,Technical Support,"Web, Mobile, & Software Development",Share of workers in this region who can work remotely
"Akron, OH",31.73,16.31,39.05,22.99,29.09,50.12,33.74,34.15,36.18,17.03,33.07,21.83,38.20,35.1%
"Albany-Schenectady-Troy, NY",34.52,17.58,45.10,27.58,31.98,48.49,35.71,36.25,37.81,19.86,30.51,23.81,40.43,39.9%
"Albuquerque, NM",29.81,14.44,47.30,22.60,28.96,44.76,38.44,29.84,35.32,16.57,28.77,19.44,36.89,34.3%
"Allentown-Bethlehem-Easton, PA-NJ",32.10,16.07,35.23,23.07,31.36,42.06,40.64,35.59,35.33,17.55,34.04,23.35,37.57,31.7%
"Amarillo, TX",33.34,13.33,41.71,17.93,27.32,52.28,38.20,31.24,36.91,15.15,24.33,21.06,38.91,29.1%
"Anchorage, AK",36.19,17.65,51.62,34.63,32.27,52.76,43.36,37.39,37.65,19.33,36.91,26.55,46.17,32.8%
"Ann Arbor, MI",33.86,16.04,39.04,23.92,34.16,49.35,34.84,35.23,35.63,20.47,40.88,21.95,42.32,42.0%
"Anniston-Oxford-Jacksonville, AL",26.61,14.69,42.34,,23.20,39.03,33.36,18.87,29.38,15.69,,16.39,,26.7%
"Asheville, NC",30.40,13.98,35.29,20.47,27.29,41.10,30.22,26.66,30.57,16.90,24.91,20.70,39.08,30.0%
"Atlanta-Sandy Springs-Roswell, GA",34.51,16.75,38.20,28.15,32.18,55.01,39.91,40.45,41.69,17.03,34.79,24.84,48.31,38.3%
"Atlantic City-Hammonton, NJ",30.99,15.23,38.07,25.40,30.80,39.30,36.54,38.82,33.40,18.93,33.07,25.34,44.24,29.2%
"Auburn-Opelika, AL",27.61,13.53,33.84,19.54,30.97,34.37,35.60,25.79,36.07,16.00,32.98,29.67,36.15,36.3%
"Augusta-Richmond County, GA-SC",27.98,13.64,46.11,18.75,26.31,40.69,38.65,32.74,34.49,16.35,23.09,20.87,37.80,29.6%
"Austin-Round Rock, TX",32.50,15.71,42.42,28.10,30.50,48.47,39.46,42.13,41.31,17.42,31.23,22.46,49.61,41.0%
"Bakersfield, CA",31.94,14.17,43.41,19.23,31.10,70.25,40.35,27.46,39.11,19.02,31.05,22.81,52.57,24.0%
"Baltimore-Columbia-Towson, MD",35.01,17.38,41.09,25.89,34.12,50.60,46.10,38.18,50.26,19.51,35.86,25.45,44.85,40.7%
"Bangor, ME",29.23,14.99,31.89,17.04,26.16,41.62,27.57,36.54,29.68,16.29,26.27,21.14,38.20,31.4%
"Barnstable Town, MA",32.88,15.60,39.30,22.17,33.17,43.58,41.34,31.00,33.46,21.71,28.86,29.80,35.15,33.9%
"Baton Rouge, LA",28.85,14.68,43.99,21.61,27.01,43.41,39.35,31.05,32.86,15.15,25.02,22.60,28.37,32.3%
"Beaumont-Port Arthur, TX",32.26,12.64,50.42,19.06,27.82,56.87,38.27,30.07,30.70,14.83,24.03,20.41,41.74,26.3%
"Bellingham, WA",29.75,16.70,36.39,19.74,31.99,39.01,39.24,26.94,31.40,18.37,34.75,22.60,47.15,31.9%
"Bend-Redmond, OR",29.97,16.38,32.28,23.90,29.71,47.61,33.03,32.74,35.88,17.68,20.69,24.23,36.40,32.2%
"Binghamton, NY",32.69,14.89,38.27,19.78,28.21,35.84,34.31,39.28,36.40,17.01,23.14,21.18,41.79,34.5%
"Birmingham-Hoover, AL",33.69,15.49,39.41,24.13,31.47,53.31,36.90,33.06,38.64,17.54,28.51,23.13,40.18,35.0%
"Bismarck, ND",29.21,17.06,38.38,18.35,31.31,40.04,33.27,28.39,34.24,18.62,34.55,21.58,47.63,34.3%
"Blacksburg-Christiansburg-Radford, VA",33.07,14.01,39.77,19.80,28.17,42.81,43.74,34.49,35.81,15.69,18.92,15.94,40.19,36.6%
"Bloomington, IL",28.73,,37.69,21.68,24.39,,,32.63,34.83,16.28,,25.77,,44.5%
"Bloomington, IN",30.30,13.37,38.49,21.57,28.86,35.61,30.63,30.04,31.33,16.69,31.54,24.67,54.19,40.5%
"Boise City, ID",28.67,15.19,34.88,21.27,29.17,43.04,31.54,32.14,30.00,16.17,32.73,20.56,37.29,33.1%
"Bremerton-Silverdale, WA",30.85,15.99,42.29,30.66,32.60,44.61,40.81,30.41,26.58,20.16,30.51,27.19,43.89,29.7%
"Bridgeport-Stamford-Norwalk, CT",39.71,19.71,42.76,34.23,44.85,70.12,52.63,52.08,48.85,22.42,39.36,28.46,51.43,43.6%
"Brownsville-Harlingen, TX",28.99,9.50,32.34,15.08,22.80,41.94,26.64,26.69,26.66,12.34,24.33,16.54,36.27,26.4%
"Buffalo-Cheektowaga-Niagara Falls, NY",31.23,16.93,39.55,22.78,30.83,44.08,33.92,33.15,37.76,17.50,31.26,23.40,40.51,35.9%
"Burlington, NC",31.04,15.03,39.83,18.25,24.86,42.32,,25.97,,17.04,,26.27,33.35,28.9%
"Burlington-South Burlington, VT",34.14,17.97,40.20,25.15,30.23,47.26,37.56,35.98,35.15,17.77,29.57,24.03,41.92,38.5%
"Canton-Massillon, OH",29.99,14.09,33.87,19.67,27.95,56.38,36.19,29.00,32.17,16.87,25.35,21.00,38.45,30.1%
"Cape Coral-Fort Myers, FL",27.07,13.61,36.97,19.73,27.26,44.56,34.98,28.30,33.92,16.35,28.84,21.06,31.48,28.5%
"Champaign-Urbana, IL",27.52,14.83,36.85,18.71,30.67,,39.75,30.93,34.63,17.13,29.85,25.44,36.12,42.9%
"Charleston, WV",26.01,14.21,38.85,17.05,26.95,41.04,26.31,24.84,30.25,15.74,23.94,20.80,32.91,34.7%
"Charleston-North Charleston, SC",25.99,15.14,37.57,17.62,29.05,29.39,34.83,30.46,39.99,17.13,30.97,23.13,44.21,32.8%
"Charlotte-Concord-Gastonia, NC-SC",35.87,17.09,38.84,23.66,32.34,55.63,42.72,40.30,38.73,17.92,36.40,23.42,49.04,35.7%
